Category,X,Y
Residential,39,143
Residential,39,144
Residential,39,145
Residential,39,146
Residential,39,147
Residential,39,148
Residential,39,149
Residential,39,150
Residential,39,151
Residential,39,153
Residential,39,154
Residential,39,155
Residential,39,156
Residential,39,157
Residential,39,158
Residential,39,159
Residential,39,160
Residential,39,163
Residential,39,164
Residential,39,165
Residential,39,166
Residential,39,168
Residential,39,169
Residential,39,170
Residential,39,172
Residential,39,189
Residential,39,190
Residential,39,191
Residential,39,192
Residential,41,14
Residential,41,15
Residential,41,17
Residential,41,19
Residential,41,20
Residential,41,21
Residential,41,23
Residential,41,24
Residential,41,25
Residential,41,27
Residential,41,28
Residential,41,29
Residential,41,46
Residential,41,48
Residential,41,49
Residential,41,50
Residential,41,51
Residential,41,53
Residential,41,54
Residential,41,55
Residential,41,56
Residential,41,57
Residential,41,59
Residential,41,62
Residential,41,63
Residential,41,64
Residential,41,66
Residential,41,67
Residential,41,69
Residential,41,70
Residential,41,72
Residential,41,74
Residential,41,75
Residential,41,76
Residential,41,78
Residential,41,80
Residential,41,81
Residential,41,82
Residential,41,83
Residential,41,85
Residential,41,86
Residential,41,87
Residential,41,88
Residential,41,90
Residential,41,91
Residential,41,92
Residential,41,93
Residential,41,94
Residential,41,95
Residential,41,96
Residential,41,97
Residential,41,98
Residential,41,114
Residential,41,115
Residential,41,116
Residential,41,118
Residential,41,119
Residential,41,121
Residential,41,122
Residential,41,123
Residential,41,125
Residential,41,126
Residential,41,127
Residential,41,128
Residential,41,129
Residential,41,130
Residential,41,132
Residential,41,133
Residential,41,134
Residential,41,135
Residential,41,136
Residential,41,137
Residential,41,138
Residential,41,139
Residential,41,140
Residential,41,142
Residential,41,143
Residential,41,144
Residential,41,145
Residential,41,146
Residential,41,147
Residential,41,148
Residential,41,149
Residential,41,150
Residential,41,151
Residential,41,153
Residential,41,154
Residential,41,155
Residential,41,156
Residential,41,157
Residential,41,158
Residential,41,159
Residential,41,160
Residential,41,161
Residential,41,165
Residential,41,167
Residential,41,168
Residential,41,169
Residential,41,170
Residential,41,171
Residential,41,172
Residential,41,174
Residential,41,189
Residential,41,190
Residential,41,191
Residential,41,192
Residential,41,193
Residential,43,12
Residential,43,14
Residential,43,17
Residential,43,20
Residential,43,21
Residential,43,22
Residential,43,23
Residential,43,24
Residential,43,25
Residential,43,27
Residential,43,48
Residential,43,49
Residential,43,50
Residential,43,51
Residential,43,52
Residential,43,53
Residential,43,54
Residential,43,56
Residential,43,57
Residential,43,59
Residential,43,60
Residential,43,61
Residential,43,62
Residential,43,63
Residential,43,64
Residential,43,65
Residential,43,66
Residential,43,67
Residential,43,69
Residential,43,70
Residential,43,71
Residential,43,72
Residential,43,73
Residential,43,74
Residential,43,76
Residential,43,77
Residential,43,78
Residential,43,80
Residential,43,81
Residential,43,82
Residential,43,83
Residential,43,84
Residential,43,85
Residential,43,87
Residential,43,88
Residential,43,90
Residential,43,91
Residential,43,92
Residential,43,93
Residential,43,94
Residential,43,95
Residential,43,96
Residential,43,97
Residential,43,114
Residential,43,115
Residential,43,116
Residential,43,117
Residential,43,119
Residential,43,121
Residential,43,122
Residential,43,123
Residential,43,124
Residential,43,125
Residential,43,126
Residential,43,127
Residential,43,128
Residential,43,129
Residential,43,130
Residential,43,132
Residential,43,133
Residential,43,134
Residential,43,135
Residential,43,137
Residential,43,138
Residential,43,139
Residential,43,140
Residential,43,142
Residential,43,143
Residential,43,144
Residential,43,145
Residential,43,146
Residential,43,147
Residential,43,148
Residential,43,149
Residential,43,150
Residential,43,151
Residential,43,153
Residential,43,154
Residential,43,155
Residential,43,156
Residential,43,157
Residential,43,158
Residential,43,160
Residential,43,161
Residential,43,164
Residential,43,165
Residential,43,166
Residential,43,167
Residential,43,168
Residential,43,169
Residential,43,171
Residential,43,172
Residential,43,174
Residential,43,175
Residential,43,178
Residential,43,179
Residential,43,180
Residential,43,181
Residential,43,189
Residential,43,190
Residential,43,191
Residential,43,192
Residential,45,7
Residential,45,8
Residential,45,12
Residential,45,13
Residential,45,14
Residential,45,15
Residential,45,18
Residential,45,20
Residential,45,21
Residential,45,22
Residential,45,23
Residential,45,24
Residential,45,25
Residential,45,48
Residential,45,49
Residential,45,50
Residential,45,51
Residential,45,52
Residential,45,53
Residential,45,54
Residential,45,55
Residential,45,56
Residential,45,57
Residential,45,59
Residential,45,60
Residential,45,61
Residential,45,62
Residential,45,63
Residential,45,64
Residential,45,65
Residential,45,66
Residential,45,67
Residential,45,69
Residential,45,70
Residential,45,71
Residential,45,74
Residential,45,75
Residential,45,76
Residential,45,77
Residential,45,78
Residential,45,80
Residential,45,82
Residential,45,83
Residential,45,84
Residential,45,85
Residential,45,86
Residential,45,87
Residential,45,88
Residential,45,90
Residential,45,91
Residential,45,92
Residential,45,93
Residential,45,94
Residential,45,95
Residential,45,96
Residential,45,97
Residential,45,113
Residential,45,114
Residential,45,116
Residential,45,117
Residential,45,118
Residential,45,119
Residential,45,121
Residential,45,122
Residential,45,123
Residential,45,124
Residential,45,125
