x,y,neighborhood_id,HI_bar,X_i,omega_i
24,48,0,0.000000,0,0.730000
24,50,0,0.000000,0,0.730000
24,52,0,0.000000,0,0.730000
24,54,0,0.000000,0,0.730000
24,56,0,0.000000,0,0.730000
24,57,0,0.000000,0,0.730000
24,59,0,0.000000,0,0.730000
24,60,0,0.000000,0,0.730000
24,62,0,0.000000,0,0.730000
24,63,0,0.000000,0,0.730000
24,66,0,0.000000,0,0.730000
24,67,0,0.000000,0,0.730000
24,69,0,0.000000,0,0.730000
24,70,0,0.000000,0,0.730000
24,71,0,0.000000,0,0.730000
24,74,0,0.000000,0,0.730000
24,75,0,0.000000,0,0.730000
24,76,0,0.000000,0,0.730000
24,78,0,0.000000,0,0.730000
24,80,0,0.000000,0,0.730000
24,81,0,0.000000,0,0.730000
24,85,0,0.000000,0,0.730000
24,87,0,0.000000,0,0.730000
24,88,0,0.000000,0,0.730000
24,90,0,0.000000,0,0.730000
24,92,0,0.000000,0,0.730000
24,93,0,0.000000,0,0.730000
24,94,0,0.000000,0,0.730000
24,95,0,0.000000,0,0.730000
24,98,0,0.000000,0,0.730000
24,99,0,0.000000,0,0.730000
24,101,0,0.000000,0,0.730000
24,105,0,0.000000,0,0.730000
24,106,0,0.000000,0,0.730000
24,107,0,0.000000,0,0.730000
24,109,0,0.000000,0,0.730000
24,111,0,0.000000,0,0.730000
24,113,0,0.000000,0,0.730000
24,114,0,0.000000,0,0.730000
24,115,0,0.000000,0,0.730000
24,116,0,0.000000,0,0.730000
24,117,0,0.000000,0,0.730000
24,118,0,0.000000,0,0.730000
24,119,0,0.000000,0,0.730000
24,121,0,0.000000,0,0.730000
24,122,0,0.000000,0,0.730000
24,123,0,0.000000,0,0.730000
24,125,6,0.274750,0,0.730000
24,126,6,0.274750,0,0.730000
24,127,6,0.274750,0,0.730000
24,129,0,0.000000,0,0.730000
24,132,7,0.258833,0,0.730000
24,134,7,0.258833,1,1.000000
24,135,7,0.258833,1,1.000000
24,136,7,0.258833,1,1.000000
24,137,7,0.258833,1,1.000000
24,138,7,0.258833,0,0.730000
24,139,7,0.258833,0,0.730000
24,140,7,0.258833,0,0.730000
24,143,0,0.000000,0,0.730000
24,145,0,0.000000,0,0.730000
24,147,0,0.000000,0,0.730000
24,148,0,0.000000,0,0.730000
24,149,0,0.000000,0,0.730000
24,150,0,0.000000,0,0.730000
24,151,0,0.000000,0,0.730000
24,153,0,0.000000,0,0.730000
24,154,0,0.000000,0,0.730000
24,155,0,0.000000,0,0.730000
24,156,0,0.000000,0,0.730000
24,157,0,0.000000,0,0.730000
24,158,0,0.000000,0,0.730000
24,159,0,0.000000,0,0.730000
24,160,0,0.000000,0,0.730000
24,161,0,0.000000,0,0.730000
24,163,0,0.000000,0,0.730000
24,164,0,0.000000,0,0.730000
24,165,0,0.000000,0,0.730000
24,166,0,0.000000,0,0.730000
24,168,0,0.000000,0,0.730000
25,23,0,0.000000,0,0.730000
25,25,0,0.000000,0,0.730000
25,27,0,0.000000,0,0.730000
25,28,0,0.000000,0,0.730000
25,31,0,0.000000,0,0.730000
25,32,0,0.000000,0,0.730000
25,45,0,0.000000,0,0.730000
25,46,0,0.000000,0,0.730000
25,49,0,0.000000,0,0.730000
25,51,0,0.000000,0,0.730000
25,53,0,0.000000,0,0.730000
25,54,0,0.000000,0,0.730000
25,55,0,0.000000,0,0.730000
25,56,0,0.000000,0,0.730000
25,57,0,0.000000,0,0.730000
25,59,0,0.000000,0,0.730000
25,61,0,0.000000,0,0.730000
25,62,0,0.000000,0,0.730000
25,63,0,0.000000,0,0.730000
25,64,0,0.000000,0,0.730000
25,65,0,0.000000,0,0.730000
25,66,0,0.000000,0,0.730000
25,67,0,0.000000,0,0.730000
25,70,0,0.000000,0,0.730000
25,71,0,0.000000,0,0.730000
25,72,0,0.000000,0,0.730000
25,73,0,0.000000,0,0.730000
25,74,0,0.000000,0,0.730000
25,78,0,0.000000,0,0.730000
25,82,0,0.000000,0,0.730000
25,85,0,0.000000,0,0.730000
25,86,0,0.000000,0,0.730000
25,87,0,0.000000,0,0.730000
25,88,0,0.000000,0,0.730000
25,90,0,0.000000,0,0.730000
